validAlertedResponses,age,gender,avg_happy,avg_energised,avg_focused,avg_stressed,avg_productive1h,avg_AC_10i,avg_AC_2i,avg_AC_5i,avg_BP_11i,avg_BP_13i,avg_BP_1i,avg_BP_9i,avg_EC_2i,avg_EC_5i,avg_GS_11i,avg_KP_10i,avg_SR_7m,avg_SU_3i,avg_SU_6i,avg_TL_10i,avg_TL_14i,avg_TL_6i,avg_TS_14i,avg_TS_1i,avg_AC_9m,avg_BP_4m,avg_EC_9m,avg_GS_12m,avg_GS_4m,avg_GS_7m,avg_KP_13m,avg_KP_3m,avg_KP_6m,avg_SR_12m,avg_SR_13m,avg_SR_14m,avg_SR_8m,avg_SU_12m,avg_SU_14m,avg_SU_16m,avg_TL_13m,avg_TL_16m,avg_TS_13m,avg_TS_16m,avg_TS_4m,avg_TS_8m,avg_AC_12t,avg_AC_4t,avg_AC_7t,avg_BP_5t,avg_GS_15t,avg_GS_5t,avg_GS_9m,avg_KP_4t,avg_KP_7t,avg_SU_15t,avg_TL_17t,avg_TL_1t,avg_TS_9t,avg_BA_1,avg_BA_2,avg_BA_3,avg_BA_4,avg_BA_5,avg_CE_1,avg_CE_2,avg_CE_3,avg_EE_1,avg_EE_2,avg_EE_3,avg_EE_4,avg_EE_5,avg_EE_6,avg_EE_7,avg_EE_8,avg_RC_1,avg_RC_2,avg_RC_3,avg_SA_1,avg_SA_2,avg_SA_3,avg_SA_4,avg_SA_5,avg_SA_6,avg_SA_7 
5,25-34,female,0.566600001,0.466799998,0.466600001,0.166999996,0.5,0.75,0.75,,0.75,,,0.75,,,,,,,,,,,,,,,,,,,,0.75,,,,,,0.75,,,,,,,0.75,,,,,,,,,,,,,0.25,,0.5,,,,,,,,,,,0.5,,0.75,,0.5,,,,,,,,,,
12,55+,female,0.708333333,0.416583334,0.527666668,0.071428571,0.666333338,,,,0.75,,0.75,,0.5,,,0.75,,,,,,0.5,,,,,,0.25,0,0.75,,,,,,0.5,,,,,0.75,,0.5,,0.75,,,,,,0,,0.5,0.75,,0,,0,,,,,,,,,,,,0.75,0.5,,,,,,,0.5,,,0.75,,,0.25,0
11,45-54,female,0.83318182,0.787818183,0.848454546,0.083250001,0.809428573,,,0.75,1,,,0.75,,,1,,0.75,0.5,1,,,,,1,,,,,,1,,0.75,,1,,,1,,,0.5,,,,0.75,,,1,1,0.75,1,,,,0.75,,,,1,0.75,1,,,,,,,1,1,,1,,,,,1,1,,,0.75,,,,1,,
8,25-34,male,0.625,0.499875002,0.541625001,0.5,0.638833334,,0.75,1,,,0.5,,,0.75,,0.5,,,,1,,,,,,,1,,,,,,0.75,,,0.75,,,,0.75,,,0.5,,,,0.75,,,,0.75,,0.5,,0.25,,0.75,,,,,,,,,,,,,,,,0.75,,,,1,0.5,0.5,,,0.25,0.75,0.25,0.5
15,35-44,female,0.455599999,0.433333333,0.477733334,0.333499998,0.5,1,,0.75,,,0.75,,,,1,0.75,0.75,1,0.75,0.75,,0.75,,,0.75,,0.75,0.75,,,0.75,0.5,0.25,0.75,,0.75,0.75,0.75,,,,,0.75,1,0.75,0.75,,0.25,,,0.75,,0.75,0.75,0.75,0.75,0.75,,,0.25,0.25,0.25,,0.75,,0.75,0.75,,,,,0.75,,,0.75,,0.75,,,0,,,0.75,0.25,0.75
19,35-44,male,0.754421052,0.701894735,0.684210526,0,0.714357142,0.5,0.5,0.75,,1,1,1,0.625,0.75,0.75,0.875,0.75,0.75,,0.75,0.75,0.833333333,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,,0.5,0.75,0.75,1,0.75,0.875,,,0.75,0.75,0.5,0.75,1,,0.75,0.75,0.75,0.5,0.75,0,0.75,0.75,0.5,0.75,0.75,0.5,0.583333333,0.75,0.75,0.75,0.75,,0.875,1,1,1,0.5,0.5,0.5,,1,,0.75,0.75,0.875,1,1,,0.75,,0.75,1,0.875,
48,25-34,male,0.475749999,0.40625,0.385458333,0.129666666,0.436864866,0.5,1,0.875,1,0.75,1,1,1,0.6875,1,0.833333333,1,0.75,0.875,0.75,0.625,0.75,1,1,0.5,0.75,0.833333333,0.5,,0.5,0.75,0.375,0.375,0.5,0.75,0.625,0.625,0.5,0.25,0.625,0.25,0.333333333,0.5,0.25,0.5,0,0.75,0.625,,0.916666667,0.25,,0.416666667,0.5,0.875,0.666666667,0.375,0.5,0.4375,0.5,0.125,0.5,0.583333333,,0.125,0.25,0.5,,1,0.75,,0.375,0.75,0.875,0.5,0.5,1,0.5,0.125,0.625,0.625,0.375,0.375,0.166666667,1
21,45-54,male,0.730190476,0.499952382,0.500047618,0.041749999,0.555666665,1,1,0.5,0.25,0.75,0.5,1,,0.75,1,,1,1,1,,0.75,0.75,0.25,0.75,0.25,,0.25,,,,,,0.75,,1,1,,0.75,,0.5,0.25,0,,0.5,,0.75,,0.5,0.75,0.75,,,0.25,0.5,0.5,0.25,0,0.75,0.25,0.25,0.75,,0.5,1,0.25,0.25,0.5,0.5,0.5,,0.75,,0.75,1,1,1,,0.75,,0.75,0.5,1,,0.5,
34,35-44,female,0.686235295,0.509764706,0.70582353,0.333466665,0.757545455,1,1,0.875,1,1,0.75,0.75,,1,1,1,1,1,,1,,1,0.5,0.75,0.75,0.5,0.75,0.25,1,0.25,0.5,0.5,,0.75,,0.75,1,0.5,0.25,0.5,0.75,0,0.75,0.75,0.5,0.75,1,0.75,0.75,1,1,0.875,0.25,0.75,0.25,,,0.75,0.75,0.375,1,0.75,,1,,0.5,0.75,0.875,0.75,,1,1,0.75,1,0.75,0.75,0.75,1,0.75,0.75,0.75,0.875,1,,
57,45-54,female,0.786491229,0.745473686,0.766017545,0.058043477,0.826297872,0.875,1,0.625,1,1,0.75,1,0.916666667,0.75,0.875,0.75,0.916666667,1,1,,0.5,1,0.625,0.583333333,0.75,0.875,0.916666667,0.75,0.5,0.625,0.875,0.75,0.875,0.875,0.875,0.875,0.75,0.916666667,1,0.75,0.833333333,,1,0.875,1,0.75,0.833333333,0.75,0.875,0.625,0.625,0.75,0.25,0.875,0.75,0.75,0.875,0.875,0.75,0.416666667,0.875,,1,1,0.666666667,0.583333333,0.625,0.625,1,0.916666667,0.875,0.666666667,0.75,0.916666667,0.75,1,1,0.75,0.5,0.875,0.916666667,1,1,0.75,1
39,35-44,male,0.37171795,0.239384615,0.235076923,0.350199997,0.312375002,0.5,0.5,0.25,0.5,0,0.5,0.75,0.25,0,0.25,0.5,0.5,0.5,0.375,0.25,0.625,0.5,0.5,0.125,0.25,0.25,0.5,0.5,0.25,0.375,0.25,0.5,0.25,0.5,0.25,0.75,0.5,0.5,0.25,0.375,0.5,,0.625,0.25,0.5,0.25,0.5,0.25,0,0.375,0,0.5,0.5,0.625,0.5,0.5,0,0.5,,0.5,0,0.5,0.5,0.25,0.5,0.5,0.5,0.25,0.5,0.5,0.5,0.5,0.75,0.625,0.75,0.75,0.5,0.25,0.25,,0.5,0.25,0.5,0.25,0.25
106,25-34,female,0.710688679,0.5755,0.559801886,0.299128205,0.666727272,0.75,0.875,0.75,0.833333333,0.75,0.833333333,1,0.75,0.75,0.75,1,0.8125,0.875,0.833333333,0.583333333,0.75,0.8125,0.75,0.8,0.75,0.875,0.833333333,0.75,0.916666667,0.875,0.916666667,0.75,0.833333333,0.875,0.875,1,0.875,0.9375,0.875,0.625,0.916666667,0.875,0.75,0.833333333,0.875,0.875,0.75,0.9,0.75,0.5,0.9,0.75,0.75,0.833333333,0.75,0.875,1,0.666666667,0.625,0.875,0.875,0.833333333,0.833333333,1,0.875,0.666666667,0.875,0.75,0.75,0.75,0.75,1,0.75,0.8125,0.8,0.9375,1,0.75,0.75,0.8125,0.75,0.75,0.833333333,0.625,0.75
16,25-34,female,0.604374997,0.614749998,0.614749998,0.238142857,0.621363634,,0.5,,0.75,0.25,0.75,0.5,0.75,0.5,0.5,0.75,0.75,,,,0.5,,,,,,0.5,0.5,,,,0.5,,0.75,0.75,,,0.5,,,,0.25,,,,,0.25,0.75,0.75,,,,0.5,,0.75,,0.25,0.25,0.75,0.25,,0.25,0.75,0.25,0.25,0.5,0.25,,,,0.5,0.25,0.75,0.5,,1,1,0.75,,0.25,0.5,,0.5,0.25,0.5
4,45-54,male,0.500249997,0.500249997,0.541749999,1,,,,,,,,,,0.25,,,0.5,,,,0.75,,,0.75,0.75,,,,,,,,,0,,,,,,,,,,,,0.75,,,,,,0.5,,,,,,,,,,0.25,0.25,,,,,,,,,,,,,,0.75,,0.5,,,,,,
47,25-34,male,0.436212765,0.382978723,0.446829787,0.0208125,0.535105263,0.625,0.25,0.375,0.75,,0.5,0.875,,,0.5,0.833333333,0.5,0.625,0.5,0.5,0.75,0.75,0.75,,0.5,0.25,0.5,0.5,0.625,0.25,0.625,0.75,0.75,0.75,,0.375,0.5,0.625,0.5,0.25,0.75,0.625,0.625,0.75,0.5,0.625,0.5,0.25,,0.25,0,0.75,0.5,0.25,,0.166666667,0.5,0.25,0,0,,0,0.5,0.75,0.5,0.5,0.25,0.25,0.25,0.5,0.125,0.25,0,0.5,0,0.75,0.75,0.625,,,,0.25,0.5,,0.375
2,25-34,female,0.5,0.5,0.416999996,,0.166999996,,,,,,,,1,,,,,,,,,,,1,,,0.75,,,,,,0.25,,,,,0.75,,,0.75,,,0.25,,,,0.25,,,,,0.25,,0.75,,,,,,,,,,,,,,,0.75,0.25,,,,,,,,,,,,,,
9,45-54,female,0.703666667,0.629777776,0.777666668,0.300199997,0.809428573,,,0.75,,,,,,,,,,,,0.75,,,0.75,0.75,,0.5,,0.5,,,,,0.5,,1,,0.75,,,,,,,,,,0.75,,,0.75,,0.75,,,,,,,,,0.25,,,0.75,0.75,0.75,0.75,,,,0.75,0.75,,,,,,0.75,,,,,,0.75,
3,45-54,male,0.222333332,0.166999996,0.222333332,0.5,0.333000004,0.25,,,,,0.5,,,,0.25,,,,,,,,,,0.25,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0.25,,,0,,,,,0.25
37,45-54,female,0.698162163,0.693783783,0.788297297,0.511999999,0.676727273,1,0.75,0.75,,0.75,,1,1,0.75,0.875,0.75,0.625,1,,0.625,0.375,1,0.75,0.75,0.75,1,0.75,1,1,0.75,1,0.75,0.875,,0.5,1,0.625,1,1,0.75,1,0.25,0.75,1,0.75,1,0.75,,1,,1,0.875,0.75,0.625,1,1,0.875,0.75,,0.5,0.75,0.75,,0.5,0.75,0.5,0.75,0.25,0.75,0.875,0.75,,,0.875,1,1,,0.875,,0.75,1,0.75,0.75,1,1
23,35-44,male,0.86952174,0.876782609,0.847782609,0.055500001,0.812624998,0.75,0.5,,,0.75,0.75,,,,,,0.75,,,,0.75,,,0.75,0.75,,0.75,0.5,,,0.75,,0.75,0.25,,0.5,0.75,0.75,,,,,,,0.75,,0.75,1,,0.75,0.75,,,0.75,,1,0.75,,,0.5,,,,,,,,0.5,,,,,0.75,,1,,1,0.75,,,1,0.75,1,0.75,0.75
1,25-34,male,0.666999996,0.333000004,0.5,0.5,0.666999996,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,,,,,
72,25-34,male,0.747597223,0.696708334,0.724513889,0.452357143,0.750035714,,1,0.833333333,0.916666667,0.6875,1,0.916666667,1,0.75,,0.25,1,1,1,0.916666667,0.666666667,0.8125,0.75,0.875,0.8125,0.5,0.875,0.5,1,0.583333333,1,0.916666667,0.833333333,0.875,0.25,0.875,1,0.916666667,0.625,0.875,0.75,0.25,0.833333333,0.5,0.916666667,0.416666667,0.75,0.625,0.666666667,0.75,0.75,0.416666667,0.5,0.833333333,0.75,0.75,0.25,0.583333333,0.5,0,0.166666667,0.75,0.583333333,0.75,0.75,0.583333333,0.916666667,0.583333333,,0.166666667,0.333333333,0.75,1,0,1,1,1,0.583333333,0.75,1,0.666666667,0.75,0.916666667,0.666666667,0.75
16,25-34,female,0.572999999,0.448062498,0.583374999,0.547571429,0.562624998,0.75,,,0.25,,,,0.75,0.25,1,0.5,0.75,,,0.25,,,,0.25,,,,,,,0.75,1,0.5,,0.5,0.25,0.75,0.75,0.5,,0.5,1,0.75,0.5,1,,,,0.25,0.5,0.75,0.75,0.25,0.25,,,0.5,0.5,0.5,,0.25,0.5,,1,0.25,0.5,0.5,1,,0.5,,0.5,0.75,,,1,0.75,,,,1,1,,,
4,35-44,male,0.833250001,0.708250001,0.708250001,,0.666999996,,0.75,0.75,,0.5,,1,,,,,,0.75,,,,,,,0.75,,,,,,,,,,,,,0.25,0.25,,,,,0,,,0.75,,,,,,0.25,,0.5,,,,,,,0.25,,,0.5,0.75,,,,,,,0.5,,0.5,,,,,,,,0.75,,
29,45-54,male,0.821551728,0.735724137,0.798689657,0.393818183,0.763750002,,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,,0.75,0.75,0.75,,,,,,0.75,0.75,,0.5,0.75,0.75,0.75,0.5,,0.75,1,,0.75,0.75,,,,0.75,0.75,0.75,0.75,,0.75,0.75,1,0.75,0.75,0.5,1,0.75,0.75,0.75,0.75,0.75,0.75,,,0.75,,,0.75,0.75,,,,0.5,0.75,0.75,0.5,0.5,0.75,1,,0.5,0.75,0.75,0.75,,,0.75
26,45-54,female,0.762653848,0.7115,0.724230771,0.25,0.772545457,0.75,,0.75,,,0.75,0.75,,0.75,,,1,1,1,0.75,,,0.75,0.75,,1,0.75,,0.75,0.75,,0.75,0.75,0.75,,0.75,1,0.75,,0.75,0.75,1,0.75,0.25,,0.75,0.75,0.75,1,,0.75,0.75,0.5,0.75,0.75,,0.75,0.75,,0.25,0.75,,,1,,,,0.75,1,1,0.75,0.75,,0.75,0.75,1,1,,,0.75,,,0.75,0.5,0.75
20,55+,male,0.849800003,0.68335,0.725,0.1667,0.857142857,0.75,1,,,,1,,,,0.75,1,,1,,,,,0.75,,1,0.75,,,,,0.75,0.75,,,1,0.75,,,,0.5,0.5,,,0.5,,0.75,1,,0.75,1,0.5,0.75,0.5,,1,1,,,,1,,1,0.75,,,0.75,,1,,,1,,,1,,1,0,0.75,0.75,,1,,,1,
111,45-54,male,0.713171172,0.744693694,0.70418018,0.171457142,0.738000001,0.75,0.9375,0.875,0.875,0.625,0.75,0.916666667,1,0.75,0.75,0.75,0.833333333,0.875,0.75,0.666666667,0.5,0.5,1,0.75,0.75,0.75,0.8125,0.75,0.875,0.583333333,0.875,0.6875,0.75,0.666666667,0.625,0.916666667,0.75,0.583333333,0.75,0.75,0.8125,0.25,0.625,0.25,0.625,0.625,0.583333333,0.625,0.75,0.5,0.625,0.625,0.625,0.5,0.75,0.5625,0.583333333,0.8125,0.5,0.5,0.666666667,0.625,0.666666667,0.6875,0.625,0.583333333,0.75,0.416666667,0.9375,0.75,0.416666667,0.625,0.6875,0.6875,0.75,0.666666667,1,0.5625,0.75,0.583333333,0.6875,0.625,0.833333333,0.375,1
102,35-44,male,0.988558824,0.864411764,0.923215686,0,0.897435897,0.833333333,0.9375,1,0.666666667,1,1,1,1,1,1,1,1,1,1,1,1,1,0.3125,1,1,1,1,1,1,1,1,1,1,1,0.833333333,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.916666667,1,1,0,0.916666667,0.666666667,0.916666667,1,0.416666667,0.5,0.583333333,0.75,1,1,0.666666667,1,0.833333333,1,0.833333333,1,1,1,0.5,0.625,0.5,0.5,0.5,0.833333333,0.5
21,55+,female,0.777714287,0.698428571,0.658809523,0.333599997,0.816500002,0.75,1,,1,,,,,,,,,1,,1,0.5,,0.5,0.75,,0.75,0.75,,,1,1,0.75,,,0.75,,,0.75,1,0.75,0.75,1,1,0.75,1,,,0.75,,,1,,,,,1,,,1,,,1,0.75,,1,0.75,0.75,,1,,,,0.75,1,,1,1,0.75,1,,0.75,1,,1,
1,45-54,male,0.333000004,0.333000004,0.333000004,,,,,,,,0.75,,,,,0.75,,,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,,,,,,,,,,,,0.75,0.75,,,,,,,,,,,,,,,,,,,,,,,,,
3,35-44,male,0.444333335,0.277999997,0.222333332,0.25,0.416999996,,,,,,,,,,,,,,,,,,,,1,,,,,,,,0.75,,,,,,0.5,,0.25,,1,,,,,,,,,,,,,,,,,,,,,,,,0.75,,,,,,,,,,1,,,,0.75,0.25,,,
9,25-34,male,0.574111111,0.49988889,0.648222221,,0.333000004,0.75,,,,,,1,,,,,1,,0.75,,,,,,0.75,,0.75,,0.75,,0.75,,,,,,,,,,0.5,0.75,,,0.5,,0.5,0.5,,0.5,0.5,0.5,,,,0.5,,0.5,,,,,,,0.75,,,,,,,,,,,1,,,,,,0.75,,,
17,45-54,male,0.558823529,0.637294117,0.60782353,0.333499998,0.499875002,0.75,1,,,,1,,0.75,0.75,,1,1,,,0.75,0.75,1,1,,,0.75,1,0.5,,,,,0.5,0.75,,1,1,0.75,,,,0.75,,0.75,1,,1,,,,0.5,0.75,,0.75,,1,0.75,1,0.75,0.25,,0.5,0.75,,0.5,,,,,,0.5,0.5,,,0.75,1,1,0.75,0.5,,0.5,,0.75,0.5,
1,45-54,male,0.666999996,0.666999996,0.5,,0.833000004,,,0.75,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,35-44,male,0.619142856,0.595428569,0.571571427,0.583499998,0.583250001,0.75,,,,,,,0.75,0.75,,0.25,,,,,0.25,,,,,0.75,,0.75,,,,,,,0.75,,0.75,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,0.75,,,,,,,0.75,,,0.75,,,,,0.75,,,,0.75
3,25-34,female,0.61133333,0.555666665,0.666999996,,0.333000004,0.75,,,,1,0.75,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,,,,,,0.75,,,,,,,,,0.75,0.75,,,1,,,,,,,,0.75,1,,,,0.75,,,,,,,,,,
15,25-34,male,0.855599999,0.655599999,0.8778,0.277833333,0.722333332,,,,,1,0.75,1,1,1,1,1,0.75,,1,1,,1,,,1,,,,,,,1,,,0.75,,0.75,1,,,1,,,1,,1,,,,,1,0.75,,,,1,1,,0.5,,1,0.5,1,1,,,1,,1,1,,,,,,,,,,,,,0.75,,1
3,25-34,female,0.333333333,0.333333333,0.61133333,0.666999996,0.88866667,,,,,,1,1,0.75,,,0.75,1,0.5,,1,,,,,,,,,0.5,,,,,,,,,,,,0.75,0.75,,,,0.75,,,,,,,,,,,,0.75,,,,,,,,,,,,0.75,0.5,,,,0.75,,,0.5,,0.75,,,,,1
20,45-54,male,0.625049999,0.55835,0.649900001,0.733399999,0.777733334,0.75,1,,0.875,0.75,1,1,,0.75,,,1,0.75,,,0.25,1,,1,0.75,0.75,1,,,,,1,1,0.75,0.75,1,0.75,1,,0.75,0.75,,,,,1,,0.75,,1,0.75,1,,0.75,,,,0.75,0.5,,,0.75,1,,0.75,,,,1,1,0.5,0.75,0.875,0.875,,0.75,1,0.75,,1,0.75,,,,0.75
55,45-54,male,0.712181817,0.715199999,0.736327273,0.166764705,0.615461537,0.75,0.875,0.75,0.5,0.5,0.75,0.75,0.5,0.625,1,1,0.75,0.75,0.875,0.75,0.5,0.75,0.5,1,0.75,0.75,0.875,0.75,1,0.75,0.75,0.5,0.75,0.875,0.875,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,1,0.75,1,0.75,0.75,0.75,0.5,1,0.75,0.75,0.75,0.5,0.75,0.25,0.625,0.625,0.75,1,0.5,0.625,0.75,,0.5,0.375,,0.75,0.5,0.75,0.625,0.75,0.75,0.75,0.5,,0.5,0.375,0.5,0.375,0.75
95,45-54,female,0.798221053,0.664957894,0.677221052,0.173666666,0.588367348,0.75,1,0.8125,1,0.75,0.8125,0.916666667,0.95,0.75,0.875,1,0.9,0.875,0.9375,0.95,0.75,0.875,1,0.8,0.833333333,0.7,0.75,0.7,0.875,1,1,0.75,0.75,0.625,0.6875,0.875,0.75,0.9375,0.75,0.8,0.8125,0.75,0.875,0.833333333,0.875,0.75,0.583333333,0.75,0.583333333,0.75,0.5625,0.75,0.75,0.75,1,0.75,0.416666667,0.583333333,0.75,0.583333333,0.75,0.75,0.75,0.875,0.75,0.833333333,0.6875,0.5625,0.45,0.625,0.75,0.5,0.6875,0.65,0.75,1,1,1,0.75,0.5,0.75,0.583333333,0.75,0.7,0.75
4,>55,female,0.458499998,0.375,0.458250001,0.5,0.666999996,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,0.5,0.5,,,,,,,,0.75,,,,,,,,0.75,,,,,,,,,,,,,0.75,,,,0.25,,,0.5,,,,0.75,,,,,,,
37,25-34,female,0.545135134,0.491054053,0.531567567,0.452428571,0.854062501,0.5,0.5,,0.5,0.5,0.5,0.75,1,0.5,0.5,1,0.5,0.75,0.75,0.625,0.75,0.75,0.5,0.5,0.5,0.25,0.5,0.625,0.5,0.5,0.5,0.25,0.25,0.25,0.375,0.25,0.5,,0.5,,0.75,0.75,0.75,0.25,0.75,0.5,0.75,,0.5,0.5,0.75,0.5,0.75,,0.75,0.5,0.25,0.25,0.875,0.5,0.5,0.5,0.75,0.75,0.5,0.5,0.75,0.25,0.75,0.75,0.25,0.5,0.75,0.5,0.75,0.5,0.75,1,,0.5,0.75,0.5,0.25,0.75,0.75
9,25-34,female,0.759222223,0.425999999,0.592555556,0.166666667,0.583000004,,0.75,0.75,0.75,,0.75,,0.75,,,0.75,0.75,,,,0.75,0.75,0.75,0.75,,0.5,,0.75,0.75,,,0.5,,0.75,1,0.75,0.75,0.75,0.75,,,,,0.25,0.75,,0.75,,,,,0.5,,0.5,0.75,,0.25,,,,0.75,0.75,0.5,,0.5,,0.75,0.5,,,0.75,,0.75,0.75,0.75,,0.75,0.75,,,0.75,0.25,,,
3,>55,female,0.833333333,0.666999996,0.61133333,,0.666999996,,,,,,,,,,,,,0.75,,,,,,,,,,,,,,,,0.75,,,,,,,,0.75,,,,,,,,1,,,,,,,,,,0.5,0.75,,,,,,,,,,,0.75,,,0.5,,,,,,,,,,
3,45-54,female,0.5,0.388999999,0.499666671,,0.916500002,,,,1,,1,,,,,0.25,,,,,,0.75,,,,0.75,,0.75,,,,,,,,,,,,,,0.75,,0.25,,,,,,0.75,,,,,,,,,,,0,,,,,0.75,,,,,,,,0.75,,,,,1,0.75,0.75,,,,
19,35-44,male,0.684315788,0.578999999,0.543842105,0.083499998,0.527833333,,,0.75,0.75,,0.875,0.25,,0.75,0.75,1,0.75,,,,0.5,0.625,0.75,,0.75,0.375,0.75,,0.75,0.75,,,0.25,0.5,0.5,0.25,0.25,,,,0.75,,,0.75,0.75,,0.75,0.5,0.5,0.25,0.25,,0.25,0.25,0.75,0.75,,0.75,0.25,0.25,,0.375,,,0.75,0.75,0.75,0.5,,,0.25,,0.5,,,0.75,0.625,0.75,1,0.75,0.75,0.75,0.75,0.75,0.75
89,35-44,male,0.780820226,0.610483146,0.595505618,0.113727272,0.755466668,0.75,0.75,0.833333333,0.75,0.75,0.75,0.8125,0.75,0.75,0.75,0.75,0.625,0.875,0.75,0.75,0.75,0.75,0.625,0.833333333,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.625,0.75,0.75,0.666666667,0.833333333,0.75,0.75,0.875,0.75,0.75,0.75,0.75,0.75,0.75,0.875,0.75,0.75,0.75,0.833333333,0.75,0.75,0.625,0.75,0.833333333,0.75,0.75,0.666666667,0.75,0.666666667,0.625,0.75,0.75,0.75,0.75,0.625,0.75,0.583333333,0.75,0.875,0.75,0.75,0.75,0.75,0.75,0.916666667,1,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
37,35-44,female,0.644162162,0.473027026,0.513486487,0.499916668,0.7685,0.75,0.875,0.75,0.875,0.5,0.75,1,1,1,0.75,1,,1,1,1,0.5,,1,0.833333333,1,1,0.75,0.75,1,1,1,0.75,0.625,1,1,1,1,1,1,,1,1,1,0.75,1,1,0.625,1,0.75,0.625,0.5,1,,0.625,0.5,0.375,0.25,,0.75,0.5,1,0.75,1,0.875,0.75,0.75,,,0.75,1,0.666666667,,0.5,0.75,0.875,,1,0.875,0.5,0.75,1,0.375,0.875,0.75,0.5
46,55+,male,0.579652175,0.481804349,0.568826087,0.41023077,0.572968749,0.625,1,1,1,0.875,0.75,1,0.75,0.875,1,0.625,0.875,0.833333333,1,0.625,0.625,0.875,0.625,1,0.75,0.75,0.833333333,0.75,0.75,0.75,1,1,0.75,1,0.75,0.875,1,0.75,0.75,0.583333333,1,0.583333333,0.75,0.75,0.75,0.75,0.75,0.75,1,1,0.875,0.875,0.5,1,0.75,0.75,0.5,1,0.375,0.666666667,0.625,0.875,0.5,1,0.75,0.666666667,0.75,0.625,1,1,1,1,1,0.75,0.75,0.875,1,0.625,0.75,0.75,0.75,0.833333333,1,0.25,1
3,35-44,female,0.722333332,0.611000001,0.666333338,0,0.666999996,,0.75,,0.5,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,0.5,,,0.5,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,
60,45-54,male,0.786016668,0.705433335,0.76665,0.416500002,0.729621623,0.875,0.875,0.75,0.75,0.75,1,1,0.916666667,0.75,1,0.875,0.75,0.75,1,0.875,0.75,0.75,0.75,0.875,1,1,0.5,0.875,1,1,0.75,0.875,0.75,0.75,1,1,1,0.75,0.75,0.75,0.625,0.75,0.625,0.75,0.75,0.75,0.75,0.75,0.875,0.75,0.875,0.75,0.625,0.75,0.75,0.75,0.583333333,0.75,0.75,0.5,0.75,0.875,0.75,1,0.25,0.75,0.625,0.625,1,0.875,0.75,1,0.875,1,1,1,1,0.75,0.75,0.75,0.75,0.75,1,0.25,0.625
53,45-54,male,0.531584904,0.531528301,0.522075471,0.273857142,0.525769229,0.25,0.625,0.25,0.125,0.5,,0.5,0.25,0.25,0.25,0,0.375,0.166666667,0.25,0.5,0.625,0.5,0.125,0.5,0.25,0.25,0.25,0.75,0.75,0.25,0.583333333,0.375,0.5,0.75,0.5,0.166666667,,0.5,0.25,0.25,0.75,0.125,0.75,0.375,0.25,0.25,0.375,0.25,0.375,0.25,0.25,0.375,0.125,0.25,,0.166666667,,0.25,0.75,0.25,0.25,,0.75,0.75,0.75,0.75,0.875,0.25,0.666666667,0.75,0.375,0,0.75,0.125,,1,0.875,0.333333333,0.75,0.5,0.75,0.75,0.5,0.75,0.75
4,35-44,male,0.375249997,0.375249997,0.458499998,0.833000004,0.416749999,,,,0.5,,,,,,,,,,,,,,,0.25,,,,,,,,,,,0.25,0.25,,0.25,,,,,,,,,,,,,,,,,,,,0.5,0,,,,,,,,,,,,,,,0.5,0.75,,,,,,,0,,0.25,0.5
50,25-34,female,0.666719999,0.579940001,0.60334,0.371769231,0.734555556,1,1,0.5,0.75,0.75,0.75,1,1,0.75,1,0.625,0.75,1,0.75,1,1,1,0.75,0.875,1,0.75,,0.875,1,0.875,1,0.75,0.625,0.75,0.375,,0.875,1,0.875,1,0.75,1,0.75,0.125,1,0.875,0.75,0.5,0.5,0.5,0.375,0.75,0.5,0.75,0.75,0.75,0.625,0.5,0.75,0.25,0.75,,0.75,0.875,0.5,0.75,0.75,0.375,0.5,0.75,0.5,0.75,0.5,0.75,0.5,0.75,1,0.5,0.375,0.375,0.75,0.5,0.5,0.375,0.625
1,35-44,female,0.5,0.333000004,0.666999996,,0.166999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,0.5,,
